Deal ID;Companies;Net Income;Current Financing Status;Year Founded;Primary Industry Sector;Primary Industry Group;Deal Size;Post Valuation;Deal Date;Deal Type;Investors;PitchBook Link
118653-67T;7Hands;;Pending Transaction (VC);2018;Consumer Products and Services (B2C);Consumer Non-Durables;1,78;;;Early Stage VC;;View Company Online
169936-93T;7Ink Brews;;Angel-Backed;2020;Consumer Products and Services (B2C);Consumer Non-Durables;5,90;;06-Apr-2021;Angel (individual);Mahendra Singh Dhoni(Mahendra Singh Dhoni);View Company Online
169937-11T;7Ink Brews;;Angel-Backed;2020;Consumer Products and Services (B2C);Consumer Non-Durables;12,65;;06-Apr-2021;Early Stage VC;;View Company Online
79157-08T;80,000 Hours;;Formerly Accelerator/Incubator backed;2011;Consumer Products and Services (B2C);Services (Non-Financial);0,11;;19-Aug-2015;Accelerator/Incubator;Y Combinator;View Company Online
232775-20T;80,000 Hours;;Formerly Accelerator/Incubator backed;2011;Consumer Products and Services (B2C);Services (Non-Financial);;;01-Feb-2023;Secondary Transaction - Private;;View Company Online
75498-58T;82-Bed Hospital (Acadia Healthcare and Ochsner Health System);;Corporate Backed or Acquired;2016;Healthcare;Healthcare Services;;;12-Sep-2016;Joint Venture;Acadia Healthcare (NAS: ACHC)(Joey Jacobs), Ochsner Health;View Company Online
276693-85T;8illion;;Accelerator/Incubator Backed;;Healthcare;Healthcare Devices and Supplies;;;;Accelerator/Incubator;Aoyama Startup Acceleration Center (ASAC);View Company Online
254221-75T;8LAB (Media and Information Services (B2B));;Accelerator/Incubator Backed;2023;Business Products and Services (B2B);Commercial Services;0,11;0,31;18-Mar-2024;Accelerator/Incubator;Techstars;View Company Online
207850-69T;8Meals;3,04;Venture Capital-Backed;2015;Consumer Products and Services (B2C);Restaurants, Hotels and Leisure;;;12-Oct-2022;Later Stage VC;Pectus Company, S&S Investment, SB Partners (South Korea);View Company Online
168343-57T;8omics;;Venture Capital-Backed;2015;Healthcare;Pharmaceuticals and Biotechnology;;;21-Mar-2016;Early Stage VC;Northern Territory Incubator;View Company Online
264649-06T;8seats;;Venture Capital-Backed;2021;Information Technology;Software;;;01-Jun-2024;Early Stage VC;Black Nova Venture Capital;View Company Online
65281-15T;8Spaces;;Formerly Accelerator/Incubator backed;2015;Business Products and Services (B2B);Other Business Products and Services;;;;Accelerator/Incubator;VentureLab Growth Partners;View Company Online
79207-21T;8Spaces;;Formerly Accelerator/Incubator backed;2015;Business Products and Services (B2B);Other Business Products and Services;;;28-Nov-2016;Merger/Acquisition;FlySpaces(Mario Berta);View Company Online
85482-91T;8win;;Venture Capital-Backed;2013;Information Technology;Software;9,02;;26-Feb-2016;Early Stage VC;LeSports(Zhenjian Lei), Susquehanna Asia Investments;View Company Online
85487-32T;8win;;Venture Capital-Backed;2013;Information Technology;Software;;;01-Mar-2013;Early Stage VC;Palm Commerce Information Technology;View Company Online
85487-86T;8win;;Venture Capital-Backed;2013;Information Technology;Software;;;01-Aug-2014;Early Stage VC;Oscar Zhao(Oscar Zhao), Source Code Capital;View Company Online
196799-68T;8XR;;Venture Capital-Backed;2021;Information Technology;Software;0,76;5,25;23-Jun-2022;Early Stage VC;;View Company Online
138534-31T;9 Secretaries;;Venture Capital-Backed;2015;Information Technology;Software;1,35;;26-Oct-2016;Early Stage VC;Timing Group;View Company Online
136698-76T;90 West Data;;Angel-Backed;2019;Business Products and Services (B2B);Commercial Services;0,23;;14-May-2020;Angel (individual);;View Company Online
250020-19T;913.ai;;Venture Capital-Backed;2023;Information Technology;Software;0,10;;23-Nov-2023;Seed Round;Antler, Innovationsstarter;View Company Online
249753-97T;91310120MA7FAGF31H;;Venture Capital-Backed;2023;Consumer Products and Services (B2C);Consumer Non-Durables;0,64;;26-Dec-2023;Seed Round;;View Company Online
114845-32T;9188 Lottery Network All;;Venture Capital-Backed;2011;Consumer Products and Services (B2C);Restaurants, Hotels and Leisure;12,21;;01-Jan-2013;Early Stage VC;Cowin Capital(Tang Zhongcheng), CrestValue Capital, Haitong Securities (SHG: 600837);View Company Online
173533-96T;919 Qingcang;;Venture Capital-Backed;2019;Consumer Products and Services (B2C);Apparel and Accessories;1,28;;04-Jun-2021;Early Stage VC;Qingsong Fund;View Company Online
167039-20T;91jf.com;;Venture Capital-Backed;2015;Consumer Products and Services (B2C);Retail;;;08-Aug-2016;Early Stage VC;;View Company Online
34475-23T;9701 Collins Avenue;;Corporate Backed or Acquired;2012;Consumer Products and Services (B2C);Restaurants, Hotels and Leisure;156,14;156,14;22-Jan-2014;Merger/Acquisition;Al Faisal Holding;View Company Online
153607-51T;99 Cents Bawangcan;;Venture Capital-Backed;2018;Information Technology;Software;0,37;;19-Aug-2020;Early Stage VC;;View Company Online
50719-06T;99Presents Solution;;Formerly Angel backed;2012;Information Technology;Software;;;01-Mar-2012;Angel (individual);;View Company Online
50719-33T;99Presents Solution;;Formerly Angel backed;2012;Information Technology;Software;0,02;;01-Sep-2012;Seed Round;Nishant Vyas(Nishant Vyas);View Company Online
50719-96T;99Presents Solution;;Formerly Angel backed;2012;Information Technology;Software;;;;Merger/Acquisition;;View Company Online
88046-65T;99RetailStreet;;Venture Capital-Backed;2016;Consumer Products and Services (B2C);Retail;0,89;;09-Jun-2017;Seed Round;BOV Capital(Prajeeth Balasubramaniam), WaterBridge Ventures(Manish Kheterpal);View Company Online
77652-19T;9FIVE Eyewear;;Failed Transaction (Angel);2008;Consumer Products and Services (B2C);Apparel and Accessories;;;;Equity Crowdfunding;;View Company Online
78587-29T;9KaCha;;Venture Capital-Backed;2012;Information Technology;Software;9,02;;12-Aug-2016;Corporate;Haier;View Company Online
78588-19T;9KaCha;;Venture Capital-Backed;2012;Information Technology;Software;0,37;;01-Jan-2013;Early Stage VC;Eagles Fund;View Company Online
78588-28T;9KaCha;;Venture Capital-Backed;2012;Information Technology;Software;1,43;;01-Sep-2015;Early Stage VC;Balintimes Media;View Company Online
204162-31T;9M Technologies;;Venture Capital-Backed;2018;Financial Services;Capital Markets/Institutions;;;27-Dec-2018;Early Stage VC;Kyber Capital, Lingfeng Capital;View Company Online
120785-32T;9th Gear Technologies;;Venture Capital-Backed;2018;Information Technology;Software;2,02;7,69;01-Sep-2019;Seed Round;Keiretsu Forum;View Company Online
190125-28T;9th Gear Technologies;;Venture Capital-Backed;2018;Information Technology;Software;4,52;;01-Nov-2019;Early Stage VC;;View Company Online
219849-22T;9th Land;;Venture Capital-Backed;2022;Information Technology;Software;1,84;;22-Dec-2023;Seed Round;;View Company Online
37396-99T;9tong;;Venture Capital-Backed;2011;Business Products and Services (B2B);Commercial Services;;;01-Jan-2014;Early Stage VC;Redpoint Ventures, Shunwei Capital;View Company Online
54729-37T;9tong;;Venture Capital-Backed;2011;Business Products and Services (B2B);Commercial Services;;;01-Jul-2011;Seed Round;CyberAgent Capital, MPCi, Zero2IPO Venture Capital;View Company Online
181772-56T;>= 9;;Venture Capital-Backed;2021;Consumer Products and Services (B2C);Consumer Non-Durables;;;15-Oct-2021;Seed Round;;View Company Online
192172-69T;>= 9;;Venture Capital-Backed;2021;Consumer Products and Services (B2C);Consumer Non-Durables;14,29;;13-Apr-2022;Early Stage VC;Centurium Capital;View Company Online
54545-50T;[a]list Games;;Corporate Backed or Acquired;;Information Technology;Software;;;01-Feb-2011;Corporate;Ayzenberg;View Company Online
54546-40T;[a]list Games;;Corporate Backed or Acquired;;Information Technology;Software;6,76;;21-Nov-2011;Corporate;Ayzenberg;View Company Online
278083-27T;[RE]FORMATION Hair;;Pending Transaction (VC);2024;Consumer Products and Services (B2C);Services (Non-Financial);0,47;;19-Nov-2024;Seed Round;;View Company Online
61817-68T;A & A Custom Cornhole;;Corporation;2013;Consumer Products and Services (B2C);Consumer Durables;0,02;;;Grant;;View Company Online
279250-93T;A Caixinha;;Accelerator/Incubator Backed;2016;Consumer Products and Services (B2C);Retail;;;01-Jan-2017;Accelerator/Incubator;Shell Iniciativa Jovem;View Company Online
236180-98T;A Caring Alternative LLC;;Corporation;2006;Healthcare;Healthcare Services;0,20;;31-Dec-2018;Grant;United States Department of Agriculture;View Company Online
259498-54T;A Diagnostic Company;;Accelerator/Incubator Backed;2023;Healthcare;Healthcare Devices and Supplies;;;;Accelerator/Incubator;Barcelona Activa;View Company Online
171511-48T;A Kitchen;;Venture Capital-Backed;2016;Consumer Products and Services (B2C);Consumer Durables;;;11-May-2016;Seed Round;Empower Investment (China);View Company Online
255520-72T;A Labs;;Venture Capital-Backed;2021;Energy;Other Energy;0,77;;24-Mar-2024;Seed Round;TheVentures;View Company Online
72251-56T;A Little Bit Brilliant;;Formerly Accelerator/Incubator backed;2013;Consumer Products and Services (B2C);Media;0,02;;;Accelerator/Incubator;Oxford Accelerator, Oxygen Accelerator;View Company Online
72251-65T;A Little Bit Brilliant;;Formerly Accelerator/Incubator backed;2013;Consumer Products and Services (B2C);Media;0,28;;03-Apr-2015;Equity Crowdfunding;;View Company Online
72252-10T;A Little Bit Brilliant;;Formerly Accelerator/Incubator backed;2013;Consumer Products and Services (B2C);Media;;;01-Jan-2015;Accelerator/Incubator;MassChallenge;View Company Online
175226-41T;A Little Bit Brilliant;;Formerly Accelerator/Incubator backed;2013;Consumer Products and Services (B2C);Media;0,11;;01-Apr-2015;Grant;Innovate UK;View Company Online
232785-46T;A Little Bit Brilliant;;Formerly Accelerator/Incubator backed;2013;Consumer Products and Services (B2C);Media;;;;Secondary Transaction - Private;;View Company Online
276527-62T;A Question For;;Accelerator/Incubator Backed;;Consumer Products and Services (B2C);Media;;;01-May-2024;Accelerator/Incubator;University of Toronto Entrepreneurship;View Company Online
51240-61T;A Renting Point;;Formerly Accelerator/Incubator backed;2010;Consumer Products and Services (B2C);Media;;;;Accelerator/Incubator;UPTEC;View Company Online
141564-16T;A Runner's Mind;;Corporation;2010;Consumer Products and Services (B2C);Apparel and Accessories;;;15-Apr-2020;Debt - PPP;;View Company Online
275765-68T;A Taste of Coffee;;Accelerator/Incubator Backed;2019;Consumer Products and Services (B2C);Consumer Non-Durables;0,01;;22-Sep-2023;Accelerator/Incubator;Impacto Hispanic Business Accelerator;View Company Online
249130-45T;A to B Robotics;;Venture Capital-Backed;2019;Business Products and Services (B2B);Commercial Services;4,79;;;Early Stage VC;Castle Placement;View Company Online
55002-79T;A to Z Textile Mills;;Formerly VC-backed;1966;Consumer Products and Services (B2C);Consumer Non-Durables;0,98;;01-Jan-2003;Later Stage VC;Acumen Fund;View Company Online
55004-05T;A to Z Textile Mills;;Formerly VC-backed;1966;Consumer Products and Services (B2C);Consumer Non-Durables;;;01-Jan-2006;Secondary Transaction - Private;;View Company Online
61822-72T;A V.E.T.S.c.a.r.e.;;Failed Transaction (Angel);2011;Consumer Products and Services (B2C);Services (Non-Financial);0,09;;;Grant;;View Company Online
272810-26T;A Vinyl Bar in Shibuya;;Venture Capital-Backed;;Information Technology;Software;4,83;18,39;01-Apr-2024;Seed Round;Avex (Japan) (TKS: 7860), BoxGroup, Gold House Ventures, Liquid 2 Ventures, Mantis VC, Quiet Capital, RRE Ventures, SV Angel;View Company Online
79063-12T;A&QNano;;Corporation;2011;Healthcare;Pharmaceuticals and Biotechnology;0,11;;01-Jan-2013;Grant;U.S. Department of Health and Human Services;View Company Online
274598-74T;A&T Innovative;;Venture Capital-Backed;;Healthcare;Healthcare Devices and Supplies;;;;Seed Round;World AI Venture Capital;View Company Online
268927-75T;A'chik wood;;Accelerator/Incubator Backed;;Consumer Products and Services (B2C);Consumer Durables;0,01;;;Accelerator/Incubator;Prime Meghalaya;View Company Online
272236-33T;A+ Solar;;Accelerator/Incubator Backed;;Energy;Energy Equipment;;;;Accelerator/Incubator;Jordan Start;View Company Online
124340-68T;A-Biotech Company Limited;;Corporation;2017;Healthcare;Pharmaceuticals and Biotechnology;0,26;;01-Jan-2019;Grant;The Chinese University of Hong Kong;View Company Online
277579-18T;A-BoTT;;Accelerator/Incubator Backed;2023;Consumer Products and Services (B2C);Media;;;;Accelerator/Incubator;Lyon Start Up;View Company Online
168798-97T;A-chromiq;;Venture Capital-Backed;2020;Consumer Products and Services (B2C);Consumer Non-Durables;;;01-Mar-2021;Early Stage VC;Arceau Capital;View Company Online
266006-08T;A-Frame;;Accelerator/Incubator Backed;;Information Technology;Software;0,04;;22-Apr-2024;Accelerator/Incubator;GitHub Accelerator;View Company Online
272372-77T;A-Lab Solutions;;Corporation;2022;Financial Services;Capital Markets/Institutions;0,62;5,44;01-Aug-2024;Seed Round;;View Company Online
48257-11T;A-List;;Formerly VC-backed;;Consumer Products and Services (B2C);Media;;;;Early Stage VC;Korea Investment Partners;View Company Online
219762-10T;A-List;;Formerly VC-backed;;Consumer Products and Services (B2C);Media;;;01-Dec-2022;Secondary Transaction - Private;;View Company Online
205606-72T;a-metal;;Venture Capital-Backed;2021;Information Technology;Computer Hardware;0,29;;02-Nov-2022;Grant;Bridge - SNSF, Gebert Rüf Foundation, Innovation Network for Advanced Materials, Swiss Startup Capital;View Company Online
222897-07T;a-metal;;Venture Capital-Backed;2021;Information Technology;Computer Hardware;0,15;;02-Nov-2022;Grant;Innobooster, Venture Kick;View Company Online
243173-80T;a-metal;;Venture Capital-Backed;2021;Information Technology;Computer Hardware;0,47;;01-Nov-2023;Seed Round;;View Company Online
247737-52T;a-metal;;Venture Capital-Backed;2021;Information Technology;Computer Hardware;0,33;;28-Apr-2023;Seed Round;Kickfund(Wanja Humanes);View Company Online
263837-08T;a-metal;;Venture Capital-Backed;2021;Information Technology;Computer Hardware;;;01-Jan-2022;Accelerator/Incubator;BlueLion Incubator;View Company Online
271254-79T;A-Scan;;Corporation;2021;Information Technology;Computer Hardware;0,26;;01-Jan-2023;Grant;National Institutes of Health;View Company Online
265647-43T;A-Sharp Energy;;Accelerator/Incubator Backed;2016;Energy;Energy Services;;;01-Jan-2017;Accelerator/Incubator;Cleantech Open;View Company Online
189798-04T;A-Synaptic;;Angel-Backed;2018;Healthcare;Pharmaceuticals and Biotechnology;0,77;;28-Feb-2022;Angel (individual);;View Company Online
270705-25T;A-Synaptic;;Angel-Backed;2018;Healthcare;Pharmaceuticals and Biotechnology;0,27;;26-Aug-2024;Angel (individual);;View Company Online
116106-13T;a-ULaB;;Venture Capital-Backed;2011;Business Products and Services (B2B);Commercial Services;;;;Later Stage VC;Theodorus;View Company Online
116109-01T;a-ULaB;;Venture Capital-Backed;2011;Business Products and Services (B2B);Commercial Services;;;;Accelerator/Incubator;Brussels South Charleroi BioPark;View Company Online
222963-22T;a-ULaB;;Venture Capital-Backed;2011;Business Products and Services (B2B);Commercial Services;;;01-Jan-2011;University Spin-Out;;View Company Online
71330-95T;A. S. Raiment;;Corporate Backed or Acquired;2011;Consumer Products and Services (B2C);Apparel and Accessories;0,06;0,06;05-Jul-2012;Merger/Acquisition;Bang Overseas (BOM: 532946);View Company Online
71333-20T;A. S. Raiment;;Corporate Backed or Acquired;2011;Consumer Products and Services (B2C);Apparel and Accessories;0,16;0,16;30-Jun-2016;Merger/Acquisition;;View Company Online
275441-95T;A.b Catering Services;;Accelerator/Incubator Backed;;Business Products and Services (B2B);Commercial Services;;;;Accelerator/Incubator;African Food Changemakers;View Company Online
264182-68T;A.I. Whoo;;Accelerator/Incubator Backed;2019;Information Technology;Software;;;09-Mar-2023;Accelerator/Incubator;The Innovation Space(William Provine);View Company Online
65466-73T;A.I.L.E.E.N.N.;;Angel-Backed;2012;Information Technology;Software;;;;Angel (individual);Angel Inventum;View Company Online
183867-22T;A.I.L.E.E.N.N.;;Angel-Backed;2012;Information Technology;Software;;;01-Nov-2021;Secondary Transaction - Private;;View Company Online
279900-73T;A.P. Corporate Recruitment Services;;Accelerator/Incubator Backed;2019;Business Products and Services (B2B);Commercial Services;;;;Accelerator/Incubator;Startup Haryana;View Company Online
110469-52T;A.Treds;;Corporate Backed or Acquired;2016;Information Technology;Software;3,27;3,27;24-May-2016;Joint Venture;Axis Bank (BOM: 532215), Mjunction;View Company Online
79953-40T;A1brandz;;Corporate Backed or Acquired;2010;Information Technology;Software;;;;Joint Venture;;View Company Online
54751-69T;A2 Access;;Private Equity-Backed;2012;Financial Services;Other Financial Services;22,96;22,96;03-Aug-2015;Buyout/LBO;Dealogic(Thomas Fleming), The Carlyle Group (NAS: CG)(Campbell Dyer);View Company Online
165229-30T;A2i Therapeutics;;Venture Capital-Backed;2020;Healthcare;Pharmaceuticals and Biotechnology;;;01-Nov-2020;Joint Venture;Atomwise, FutuRx;View Company Online
165229-93T;A2i Therapeutics;;Venture Capital-Backed;2020;Healthcare;Pharmaceuticals and Biotechnology;;;18-Dec-2020;Seed Round;FutuRx, Israel Innovation Authority, Johnson & Johnson Innovation - JJDC(Lior Teitelbaum), Leaps by Bayer, OrbiMed, RMGLOBAL Healthcare Fund Management, Takeda Ventures;View Company Online
163921-42T;A2Z Business Consulting;;Corporate Backed or Acquired;2020;Business Products and Services (B2B);Commercial Services;;;18-Dec-2020;Joint Venture;A2Z Restaurant Consulting(Eddie Fahmy), Inicia Incorporated;View Company Online
51129-82T;A3S;;Formerly Accelerator/Incubator backed;2006;Business Products and Services (B2B);Commercial Services;;;;Accelerator/Incubator;UPTEC;View Company Online
46373-59T;A4C-Sankin Precision Tube;;Corporate Backed or Acquired;;Business Products and Services (B2B);Commercial Products;;;25-Jan-2016;Joint Venture;JFE Shoji(Tsutomu Yajima), PROLAMSA(Jorge Garza), Sankin Corp;View Company Online
218387-08T;AA+;;Accelerator/Incubator Backed;;Information Technology;Software;;;01-Jan-2022;Accelerator/Incubator;EIT Food;View Company Online
279169-03T;AA-I Technologies;;Accelerator/Incubator Backed;2023;Information Technology;Software;;;16-Sep-2024;Accelerator/Incubator;AWS Startups;View Company Online
135754-84T;AAA Chain;;Venture Capital-Backed;2017;Information Technology;Software;;;01-Feb-2018;Seed Round;BitAngels, BTCC, Crypto Venture Capital, Genesis Capital (China), Happy East Capital, Metaverse (Financial Software), Timestamp Capital;View Company Online
255217-15T;AAA Software Solution;;Accelerator/Incubator Backed;2021;Information Technology;Software;;;;Accelerator/Incubator;Kerala Startup Mission;View Company Online
246211-84T;AAAIMing;;Venture Capital-Backed;2023;Information Technology;Software;;;24-Nov-2023;Seed Round;Seoul National University Technology Holdings;View Company Online
36705-70T;Aabenbart;0,01;Corporate Backed or Acquired;2010;Information Technology;Software;;;05-Mar-2013;Merger/Acquisition;Issuu;View Company Online
250311-70T;Aadhiyaran Agrarian Services;;Accelerator/Incubator Backed;2020;Materials and Resources;Agriculture;;;;Accelerator/Incubator;Centre for Innovation and Agripreneurship;View Company Online
98129-62T;AAE Management;;Corporate Backed or Acquired;2017;Business Products and Services (B2B);Commercial Services;;;30-Nov-2017;Joint Venture;AHG(Hartmut Günter), Al Mazroui Group(Rashed Al Mazroui), American Eagle Fund(Edison Siqueira);View Company Online
266528-26T;Aagnaa;;Accelerator/Incubator Backed;2015;Business Products and Services (B2B);Commercial Services;;;;Accelerator/Incubator;IMACX Accelerator;View Company Online
61047-10T;Aahana;;Corporation;2011;Consumer Products and Services (B2C);Services (Non-Financial);;;19-Mar-2014;Grant;;View Company Online
245118-07T;Aaho;;Accelerator/Incubator Backed;2016;Consumer Products and Services (B2C);Transportation;;;;Accelerator/Incubator;36Inc;View Company Online
277647-76T;Aahuti Green Energy;;Accelerator/Incubator Backed;2019;Business Products and Services (B2B);Commercial Services;;;;Accelerator/Incubator;Startup Haryana;View Company Online
235401-04T;Aalborg University;;Corporation;1974;;;0,22;;31-Dec-2018;Grant;United States Department of Defense;View Company Online
98505-28T;Aalst Wilmar;;Corporate Backed or Acquired;2017;Financial Services;Other Financial Services;;;20-Sep-2017;Joint Venture;Foodlever Inc, KOG Investments;View Company Online
140764-33T;AAN Global;;Venture Capital-Backed;2015;Financial Services;Capital Markets/Institutions;;;16-Jun-2016;Early Stage VC;Sinovation Ventures;View Company Online
38846-98T;AAPG-SEG Cooperation;;Corporate Backed or Acquired;2014;Business Products and Services (B2B);Commercial Services;;;27-Oct-2014;Joint Venture;American Association of Petroleum Geologists(Randi Martinsen), Society of Exploration Geophysicists(Don Steeples);View Company Online
239508-91T;Aaritya Technologies;;Venture Capital-Backed;2023;Information Technology;Software;6,22;22,85;26-May-2023;Seed Round;Accel, Elevation Capital (India);View Company Online
243902-80T;Aaron Esh;;Venture Capital-Backed;2022;Consumer Products and Services (B2C);Apparel and Accessories;0,09;;30-Jul-2023;Seed Round;Brightlane Ventures;View Company Online
57518-56T;Aasaanpay;;Formerly PE-Backed;2011;Information Technology;Software;;;;Accelerator/Incubator;IIIT-H Foundation, Techstars;View Company Online
57518-65T;Aasaanpay;;Formerly PE-Backed;2011;Information Technology;Software;;;01-Jan-2012;Seed Round;Tvarita Capital;View Company Online
57518-74T;Aasaanpay;0,01;Formerly PE-Backed;2011;Information Technology;Software;;;15-Sep-2015;Merger/Acquisition;Suvidhaa (BOM: 543281);View Company Online
88173-01T;Aasaanpay;;Formerly PE-Backed;2011;Information Technology;Software;;;;Accelerator/Incubator;Zone Startups India;View Company Online
189184-78T;Aashna Living;--0,01;Failed Transaction (Angel);2020;Consumer Products and Services (B2C);Services (Non-Financial);0,05;13,25;01-Feb-2022;Equity Crowdfunding;;View Company Online
277551-19T;Aatmnirbhar Energy;;Accelerator/Incubator Backed;2020;Consumer Products and Services (B2C);Services (Non-Financial);;;;Accelerator/Incubator;Startup Haryana;View Company Online
223052-59T;Aavalor GreenTech;;Accelerator/Incubator Backed;;Business Products and Services (B2B);Commercial Products;0,02;;01-Jan-2022;Accelerator/Incubator;Startupbootcamp;View Company Online
255281-59T;Aavalor GreenTech;;Accelerator/Incubator Backed;;Business Products and Services (B2B);Commercial Products;;;;Angel (individual);Glass Frog Ventures(Steven van Houwelingen);View Company Online
255291-49T;Aavalor GreenTech;;Accelerator/Incubator Backed;;Business Products and Services (B2B);Commercial Products;;;;Accelerator/Incubator;MIT Solve;View Company Online
256132-00T;AAVinue;;Accelerator/Incubator Backed;2023;Healthcare;Pharmaceuticals and Biotechnology;;;;Accelerator/Incubator;Massachusetts Biomedical Initiatives;View Company Online
156296-35T;AAVPACK;;Accelerator/Incubator Backed;;Healthcare;Pharmaceuticals and Biotechnology;;;;Accelerator/Incubator;Massachusetts Biomedical Initiatives;View Company Online
173307-43T;Aawaaz;;Venture Capital-Backed;;Consumer Products and Services (B2C);Media;;;;Early Stage VC;Venture Garage;View Company Online
271633-06T;Aay Tee Logistics;;Accelerator/Incubator Backed;2017;Business Products and Services (B2B);Commercial Services;;;;Accelerator/Incubator;Startup Haryana;View Company Online
255255-67T;Aayacare;;Accelerator/Incubator Backed;2021;Business Products and Services (B2B);Commercial Services;;;;Accelerator/Incubator;Kerala Startup Mission;View Company Online
255256-84T;Aayacare;;Accelerator/Incubator Backed;2021;Business Products and Services (B2B);Commercial Services;;;24-Nov-2023;Accelerator/Incubator;Atal Incubation Centre;View Company Online
270323-56T;Aayats;;Accelerator/Incubator Backed;2023;Information Technology;Software;0,02;0,31;15-Jul-2024;Accelerator/Incubator;Techstars(Timothy Dorr);View Company Online
270328-24T;Aayats;;Accelerator/Incubator Backed;2023;Information Technology;Software;0,01;;04-Jun-2024;Accelerator/Incubator;Georgia TILE Program;View Company Online
90893-62T;AB Heineken Philippines;;Failed Transaction (M&A);;Consumer Products and Services (B2C);Consumer Non-Durables;;;27-May-2016;Joint Venture;;View Company Online
277526-35T;Ab-Hi Solar;;Accelerator/Incubator Backed;2016;Energy;Energy Equipment;;;;Accelerator/Incubator;Startup Haryana;View Company Online
251958-61T;ABA Discrete Trial Training App;;Accelerator/Incubator Backed;2022;Information Technology;Software;0,01;;01-Jan-2022;Accelerator/Incubator;CoBuilders, Mississippi State University Entrepreneurship Center;View Company Online
251958-70T;ABA Discrete Trial Training App;;Accelerator/Incubator Backed;2022;Information Technology;Software;0,01;;28-Jul-2022;Grant;CoBuilders;View Company Online
248565-34T;Abanca Corporacion Bancaria (Portfolio of Secured Performing Loans in A Coruna, Spain);;Corporate Backed or Acquired;;Business Products and Services (B2B);Other Business Products and Services;;;15-Dec-2023;Corporate Asset Purchase;Balbec Capital;View Company Online
158139-01T;ABAStroke;;Venture Capital-Backed;2019;Healthcare;Healthcare Technology Systems;;;13-Dec-2019;Early Stage VC;Life Science Innovation Fund;View Company Online
61856-74T;ABB Road;;Failed Transaction (Angel);2010;Business Products and Services (B2B);Commercial Services;;;;Equity Crowdfunding;;View Company Online
40375-36T;AbbeyPost;;Formerly VC-backed;2013;Consumer Products and Services (B2C);Apparel and Accessories;0,02;;30-Jul-2013;Seed Round;;View Company Online
40375-45T;AbbeyPost;;Formerly VC-backed;2013;Consumer Products and Services (B2C);Apparel and Accessories;0,07;;06-Jan-2014;Early Stage VC;;View Company Online
40375-54T;AbbeyPost;;Formerly VC-backed;2013;Consumer Products and Services (B2C);Apparel and Accessories;0,07;;30-Jan-2014;Accelerator/Incubator;500 Global;View Company Online
40375-63T;AbbeyPost;;Formerly VC-backed;2013;Consumer Products and Services (B2C);Apparel and Accessories;0,48;;11-Jul-2014;Seed Round;645 Ventures, Astia, Barbara Clarke(Barbara Clarke), Christine Tsai(Christine Tsai), David McClure(David McClure), LaunchCapital, Nnamdi Okike(Nnamdi Okike), Pankaj Jain(Pankaj Jain), Sean Percival(Sean Percival);View Company Online
49416-49T;AbbeyPost;;Formerly VC-backed;2013;Consumer Products and Services (B2C);Apparel and Accessories;;;01-May-2015;Merger/Acquisition;Sourceeasy(Pranay Srinivasan);View Company Online
69579-28T;Abbott & Wallace Distillery;;Failed Transaction (Angel);2015;Consumer Products and Services (B2C);Consumer Non-Durables;;;06-Jul-2016;Angel (individual);;View Company Online
275473-63T;Abbu Muhammad Crops Production's Business Enterprises;;Accelerator/Incubator Backed;;Materials and Resources;Agriculture;;;;Accelerator/Incubator;African Food Changemakers;View Company Online
77620-78T;Abby Med;;Formerly VC-backed;2013;Healthcare;Pharmaceuticals and Biotechnology;0,73;;15-Jan-2014;Seed Round;Georgia Research Alliance;View Company Online
77624-92T;Abby Med;;Formerly VC-backed;2013;Healthcare;Pharmaceuticals and Biotechnology;0,11;;23-Oct-2014;Grant;Emory University Department of Human Genetics;View Company Online
218017-90T;Abby Med;;Formerly VC-backed;2013;Healthcare;Pharmaceuticals and Biotechnology;;;01-Nov-2022;Secondary Transaction - Private;;View Company Online
266363-11T;Abbyrose;;Accelerator/Incubator Backed;2019;Consumer Products and Services (B2C);Consumer Durables;0,02;;01-Jan-2023;Accelerator/Incubator;TTU Accelerator;View Company Online
119024-56T;ABC Clinic;;Venture Capital-Backed;2017;Healthcare;Healthcare Technology Systems;;;20-May-2019;Seed Round;MPCi, ZhenFund;View Company Online
199049-41T;ABC Lab;;Venture Capital-Backed;2018;Consumer Products and Services (B2C);Consumer Non-Durables;;;27-Nov-2019;Seed Round;CNT Tech;View Company Online
53081-20T;ABCDE Test Prep Services;;Accelerator/Incubator Backed;2013;Information Technology;Software;;;;Accelerator/Incubator;Etohum;View Company Online
272375-20T;ABCJunior;;Venture Capital-Backed;2022;Consumer Products and Services (B2C);Media;0,01;;31-Mar-2022;Product Crowdfunding;;View Company Online
272377-00T;ABCJunior;;Venture Capital-Backed;2022;Consumer Products and Services (B2C);Media;;;03-Dec-2022;Accelerator/Incubator;My Startup;View Company Online
272377-45T;ABCJunior;;Venture Capital-Backed;2022;Consumer Products and Services (B2C);Media;;;24-Mar-2023;Seed Round;Paddy Tan(Paddy Tan);View Company Online
83172-79T;Abel4com;;Formerly Accelerator/Incubator backed;;Consumer Products and Services (B2C);Media;0,04;;01-Jan-2016;Accelerator/Incubator;Marseille Innovation;View Company Online
276237-82T;Abel4com;;Formerly Accelerator/Incubator backed;;Consumer Products and Services (B2C);Media;;;01-Feb-2024;Secondary Transaction - Private;;View Company Online
